"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32006058",11.4525302734375,2.48440258789062,154.536010742188,1679107.37164661,364374.358147379,-8.96812768554688,364249.523892589,-1314857.84775402,4158868.95538218,0.624868964153682,0.403741351232913
"32006059",6.21100634765625,6.21100634765625,151.170700073242,910623.79183419,910935.877465032,0,910623.79183419,0,3486604.50664201,0.524941831774001,0.261177827912355
"32006060",8.957640625,3.51347583007813,148.392120361328,1313320.29227495,515303.158469986,-5.44416479492187,515126.61617402,-798193.676100932,3857817.0978803,0.578814650921585,0.340430937743669
"32006061",2.48440258789062,2.48440258789062,154.570541381836,364249.523892589,364374.358147379,0,364249.523892589,0,2725690.14120697,0.471033104253744,0.133635705095699
"32006062",0,0,1.87399995326996,0,0,0,0,0,2677414.53663403,0.343480903674372,0
"32006063",1.24220129394531,1.24220129394531,155.831451416016,182124.761946294,182187.17907369,0,182124.761946294,0,2403027.31818442,0.458490637273602,0.0757897176482773
"32006064",2.777646484375,0,153.282760620117,407243.340675533,0,-2.777646484375,0,-407243.340675533,2912907.94514078,0.4555187222593,0.139806457445689
"32006065",5.12172705078125,5.12172705078125,153.955947875977,750919.616992846,751176.969397299,0,750919.616992846,0,3078169.79046652,0.542712226830611,0.243950031385058
"32006066",0,2.777646484375,1.87399995326996,0,407382.909612805,2.777646484375,407243.340675533,407243.340675533,2309054.53743972,0.398275895888391,0
"32006067",0,0,1.87399995326996,0,0,0,0,0,2343009.57128893,0.392504057953141,0
"32006068",3.51347583007813,9.4603232421875,149.072372436523,515126.61617402,1387496.223857,5.94684741210937,1387020.86917505,871894.253001027,3002363.18212873,0.477879354925576,0.171573718742709
"32006069",6.68945849609375,6.68945849609375,148.376037597656,980771.829886958,981107.956394948,0,980771.829886958,0,3782253.17350059,0.502455152329749,0.259308878834048
"32006070",6.68945849609375,5.27021337890625,154.249465942383,980771.829886958,772954.683994733,-1.4192451171875,772689.870569184,-208081.959317774,3409631.10318389,0.557366042521821,0.287647490360796
"32006071",18.63301953125,1.75673791503906,140.614440917969,2731871.4470917,257651.579234993,-16.8762816162109,257563.30808701,-2474308.13900469,5275545.96483847,0.692158164478709,0.517836725392903
"32006072",2.48440258789062,1.75673791503906,138.471786499023,364249.523892589,257651.579234993,-0.727664672851562,257563.30808701,-106686.215805579,2922399.61620582,0.439327421659545,0.124640559721089
"32006073",17.301861328125,14.9064150390625,149.85920715332,2536704.30949599,2186246.07727061,-2.3954462890625,2185497.07176641,-351207.237729579,5293246.8035161,0.652972589858086,0.479234088954808
"32006074",0,0,1.87399995326996,0,0,0,0,0,2354412.09461607,0.390603143203747,0
"32006075",1.75673791503906,1.75673791503906,160.442596435547,257563.30808701,257651.579234993,0,257563.30808701,0,2483082.53132205,0.474089788716848,0.103727244196703
"32006076",1.24220129394531,1.24220129394531,159.887435913086,182124.761946294,182187.17907369,0,182124.761946294,0,2450203.45723436,0.449662873198235,0.0743304648471378
"32006077",2.48440258789062,2.48440258789062,158.437973022461,364249.523892589,364374.358147379,0,364249.523892589,0,2631468.86681513,0.487898718710832,0.138420609297742
"32006078",0,2.777646484375,1.87399995326996,0,407382.909612805,2.777646484375,407243.340675533,407243.340675533,2364088.33371053,0.389004400318048,0
"32006079",0,0,1.77699995040894,0,0,0,0,0,2330900.78891275,0.39454307490407,0
"32006080",2.48440258789062,1.24220129394531,153.397201538086,364249.523892589,182187.17907369,-1.24220129394531,182124.761946294,-182124.761946294,2636528.0499272,0.486962499216344,0.13815499664517
"32006081",5.27021337890625,6.21100634765625,160.558395385742,772689.870569184,910935.877465032,0.940792968749999,910623.79183419,137933.921265006,3067104.10264673,0.551768240818028,0.251928152651356
"32006082",0,0,1.87399995326996,0,0,0,0,0,2319316.51630815,0.396513696206426,0
"32006083",4.4788203125,4.4788203125,154.573593139648,656660.146137476,656885.194283366,0,656660.146137476,0,2898053.956511,0.543917033411331,0.226586583959961
"32006084",0,0,1.87399995326996,0,0,0,0,0,2337389.40439456,0.393447819531024,0
"32006085",0,0,1.87399995326996,0,0,0,0,0,2326811.77504167,0.395236423684287,0
"32006086",0,0,1.77699995040894,0,0,0,0,0,2301010.97435959,0.399668134920525,0
